"university","long","lat"
"http://dbpedia.org/resource/Academy_of_Design_Australia",144.941,-37.8287
"http://dbpedia.org/resource/Academy_of_Drama_and_Film_in_Budapest",19.0661,47.4953
"http://dbpedia.org/resource/Academy_of_Dramatic_Art,_University_of_Zagreb",15.97,45.8086
"http://dbpedia.org/resource/Academy_of_Fine_Arts,_Prague",14.4246,50.1028
"http://dbpedia.org/resource/Academy_of_Fine_Arts_Vienna",16.3653,48.2014
"http://dbpedia.org/resource/Academy_of_Fine_Arts_and_Design_in_Bratislava",17.1072,48.1416
"http://dbpedia.org/resource/Academy_of_Fine_Arts_in_Warsaw",21.015,52.2394
"http://dbpedia.org/resource/Academy_of_Interactive_Entertainment",-122.351,47.6217
"http://dbpedia.org/resource/Academy_of_Labour_and_Social_Relations",37.618,55.756
"http://dbpedia.org/resource/Academy_of_Media_Arts_Cologne",6.962,50.934
"http://dbpedia.org/resource/Academy_of_Music,_University_of_Zagreb",15.9684,45.8103
"http://dbpedia.org/resource/Academy_of_Music_and_Dramatic_Arts_(Esbjerg)",8.4507,55.4705
"http://dbpedia.org/resource/Academy_of_Music_in_Łódź",19.4487,51.7728
"http://dbpedia.org/resource/Academy_of_Performing_Arts_in_Bratislava",17.1097,48.1439
"http://dbpedia.org/resource/Academy_of_Performing_Arts_in_Prague",14.4019,50.0875
"http://dbpedia.org/resource/Academy_of_Physical_and_Sports_Education_Vojo_Kushi",19.8019,41.3306
"http://dbpedia.org/resource/Academy_of_Public_Administration_(Belarus)",27.5389,53.8867
"http://dbpedia.org/resource/Academy_of_Sciences_of_the_Czech_Republic",14.4142,50.0814
"http://dbpedia.org/resource/Academy_of_Technology",88.3771,22.9531
"http://dbpedia.org/resource/Acadia_University",-64.3614,45.0911
"http://dbpedia.org/resource/Académie_internationale_Mohammed_VI_de_l'aviation_civile",-7.5685,33.3809
"http://dbpedia.org/resource/Accademia_Nazionale_di_Arte_Drammatica_Silvio_D'Amico",12.4934,41.92
"http://dbpedia.org/resource/Accademia_di_Belle_Arti_di_Bari",16.8769,41.1108
"http://dbpedia.org/resource/Accademia_di_Belle_Arti_di_Bologna",9.1879,45.472
"http://dbpedia.org/resource/Accademia_di_Belle_Arti_di_Carrara",10.0992,44.0782
"http://dbpedia.org/resource/Accademia_di_Belle_Arti_di_Firenze",11.2592,43.7775
"http://dbpedia.org/resource/Accademia_di_Belle_Arti_di_Napoli",14.2512,40.8516
"http://dbpedia.org/resource/Accademia_di_Belle_Arti_di_Roma",12.4756,41.9075
"http://dbpedia.org/resource/Accademia_di_Belle_Arti_di_Venezia",12.3305,45.4287
"http://dbpedia.org/resource/Accrington_and_Rossendale_College",-2.355,53.748
"http://dbpedia.org/resource/Accurate_Institute_of_Management_and_Technology",77.487,28.464
"http://dbpedia.org/resource/Acharya_Girish_Chandra_Bose_College",88.3664,22.5715
"http://dbpedia.org/resource/Acharya_Institute_of_Technology",77.484,13.0834
"http://dbpedia.org/resource/Acharya_Jagadish_Chandra_Bose_College",88.3497,22.5419
"http://dbpedia.org/resource/Acharya_N._G._Ranga_Agricultural_University",78.4098,17.3215
"http://dbpedia.org/resource/Acharya_Nagarjuna_University",80.5286,16.3753
"http://dbpedia.org/resource/Acharya_Narendra_Dev_College",77.4333,28.9
"http://dbpedia.org/resource/Acharya_Prafulla_Chandra_College",88.4379,22.6986
"http://dbpedia.org/resource/Achva_Academic_College",34.774,31.7442
"http://dbpedia.org/resource/Acıbadem_University_School_of_Medicine",29.1544,40.9253
"http://dbpedia.org/resource/Ad-din_Womens_Medical_College",90.4052,23.7485
"http://dbpedia.org/resource/Adaikalamatha_College",79.0497,10.7219
"http://dbpedia.org/resource/Adam's_Engineering_College",80.6792,17.6073
"http://dbpedia.org/resource/Adam_Mickiewicz_University_in_Poznań",16.9156,52.4078
"http://dbpedia.org/resource/Adama_University",39.2921,8.56447
"http://dbpedia.org/resource/Adamson_University",120.986,14.5861
"http://dbpedia.org/resource/Adana_Science_and_Technology_University",35.2501,37.0058
"http://dbpedia.org/resource/Adani_Institute_of_Infrastructure_Management",72.5444,23.1561
"http://dbpedia.org/resource/Adarsh_Vidyalaya_Inter_College",83.6733,25.4173
"http://dbpedia.org/resource/Addis_Ababa_University",38.7592,9.04667
"http://dbpedia.org/resource/Adelaide_College_of_Divinity",138.549,-34.931
"http://dbpedia.org/resource/Adeniran_Ogunsanya_College_of_Education",3.11083,6.5004
"http://dbpedia.org/resource/Adhiyamaan_College_of_Engineering",77.8699,12.7179
"http://dbpedia.org/resource/Adi_Shankara_Institute_of_Engineering_Technology",76.4299,10.179
